date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:36	904889/904889	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jun%202019%2011:57:34%20GMT	http://static1.squarespace.com/static/sitecss/5797de498419c2b3b97221ba/223/55f0aac0e4b0f0a5b7e0b22e/5797de498419c2b3b97221c1/326-05142015/1537828648323/site.css?&filterFeatures=false	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static1.squarespace.com/static/sitecss/5797de498419c2b3b97221ba/223/55f0aac0e4b0f0a5b7e0b22e/5797de498419c2b3b97221c1/326-05142015/1537828648323/site8696.css	(from https://mentor-demo.squarespace.com/)
12:57:38	2127796/2127796	---MCZ	200	added ('OK')	text/javascript	etag:site-server-js-signup-d01479d74d8583171db3-en-u-gzip%22	http://static.squarespace.com/universal/scripts-compressed/signup-d01479d74d8583171db3-min.en-US.js	C:/My%20Web%20Sites/SESH_crowdsourcing_template/static.squarespace.com/universal/scripts-compressed/signup-d01479d74d8583171db3-min.en-US.js	(from https://mentor-demo.squarespace.com/)
12:57:38	8459/8459	---M--	200	added ('OK')	image/svg+xml	etag:W/%22844ecbb62678d5da1637ebf3cb4a5798%22	https://mentor-demo.squarespace.com/assets/ui-icons.svg	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/assets/ui-icons.svg	(from https://mentor-demo.squarespace.com/)
12:57:40	51521/51521	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Jun%202019%2011:57:40%20GMT	https://mentor-demo.squarespace.com/search	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/search.html	(from https://mentor-demo.squarespace.com/)
12:57:41	58170/58170	---MCZ	200	added ('OK')	text/html	etag:W/%2220590489ca7cd12c8277bc62b83386aa-gzip%22	https://mentor-demo.squarespace.com/donate-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/donate-mentor.html	(from https://mentor-demo.squarespace.com/)
12:57:42	58606/58606	---M-Z	200	added ('OK')	text/html	etag:W/%22143cdfcf1f12e6bfbdded16ea9502873%22	https://mentor-demo.squarespace.com/our-vision-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/our-vision-mentor.html	(from https://mentor-demo.squarespace.com/)
12:57:43	61659/61659	---M-Z	200	added ('OK')	text/html	etag:W/%223910ee44fcb4215fc6099381df9933d7%22	https://mentor-demo.squarespace.com/mentor-team-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/mentor-team-mentor.html	(from https://mentor-demo.squarespace.com/)
12:57:44	59147/59147	---M-Z	200	added ('OK')	text/html	etag:W/%22f196e98924c38f7ffda7fcb3223a59a9-gzip%22	https://mentor-demo.squarespace.com/careers-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/careers-mentor.html	(from https://mentor-demo.squarespace.com/)
12:57:45	66641/66641	---M-Z	200	added ('OK')	text/html	etag:W/%22fc62331e75515b07b4b4f727ea202363%22	https://mentor-demo.squarespace.com/news-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/news-mentor.html	(from https://mentor-demo.squarespace.com/)
12:57:46	58230/58230	---M-Z	200	added ('OK')	text/html	etag:W/%227f9f7a5ba349b3ac5defa923b5dfc30c-gzip%22	https://mentor-demo.squarespace.com/contact-mentor	C:/My%20Web%20Sites/SESH_crowdsourcing_template/mentor-demo.squarespace.com/contact-mentor.html	(from https://mentor-demo.squarespace.com/)
